comb,fit_error,test_error,score,dif
"[1, 4, 4, 1, 4]",19051.28773,18831.58203,0.919593745,219.7057006
"[1, 4, 4, 2, 4]",18877.90595,18894.98368,0.921289291,17.0777304
"[1, 4, 2, 2, 4]",18890.30983,19052.56022,0.921358191,162.2503845
"[1, 4, 2, 1, 4]",19098.26243,19073.94797,0.919923212,24.31445278
"[1, 4, 1, 1, 4]",19143.28236,19075.6769,0.919272081,67.6054593
"[1, 4, 3, 2, 4]",18889.02925,19085.12605,0.92141012,196.0968005
"[1, 4, 3, 1, 4]",19086.09387,19094.9808,0.919984047,8.886935942
"[1, 4, 2, 3, 4]",18854.41917,19129.65184,0.921464976,275.2326719
"[1, 4, 3, 3, 4]",18843.81522,19144.25941,0.921508587,300.4441915
"[1, 4, 4, 3, 4]",18845.50614,19149.31997,0.921508991,303.8138389
"[1, 4, 1, 2, 4]",18896.94655,19153.55275,0.920936157,256.6061976
"[1, 2, 2, 2, 4]",18951.39648,19156.46405,0.921088732,205.0675633
"[1, 4, 2, 4, 4]",18852.97624,19187.05161,0.921566124,334.075367
"[1, 2, 3, 2, 4]",18936.84428,19195.49126,0.921147651,258.6469776
"[1, 2, 4, 2, 4]",18924.03359,19197.80905,0.921158715,273.775462
"[1, 4, 4, 4, 4]",18846.71011,19198.40617,0.921599513,351.6960597
"[1, 4, 3, 4, 4]",18844.25873,19198.65717,0.92159948,354.3984438
"[2, 4, 4, 1, 4]",19374.79862,19202.53362,0.920771733,172.2649986
"[1, 4, 1, 3, 4]",18855.62988,19214.15965,0.921046153,358.5297651
"[1, 4, 2, 1, 1]",19189.23257,19214.37368,0.919088529,25.14111013
"[1, 4, 3, 1, 1]",19173.98562,19223.68636,0.919163781,49.70073467
"[1, 4, 4, 1, 1]",19165.8194,19225.78635,0.919165559,59.96695027
"[1, 2, 2, 1, 4]",19124.98939,19232.65124,0.919806819,107.6618542
"[1, 4, 2, 2, 1]",18977.13726,19234.601,0.920662843,257.4637408
"[2, 4, 2, 2, 4]",19095.09686,19240.12064,0.922197814,145.0237787
"[1, 2, 2, 3, 4]",18898.36613,19240.39695,0.921219591,342.0308225
"[1, 4, 3, 2, 1]",18957.15797,19241.34443,0.920729977,284.1864648
"[1, 4, 4, 2, 1]",18960.67782,19254.34773,0.920719989,293.6699125
"[1, 2, 3, 1, 4]",19110.30922,19256.99406,0.919876458,146.6848486
"[1, 2, 4, 1, 4]",19091.8945,19260.6459,0.919885162,168.7514005
"[1, 2, 3, 3, 4]",18880.62654,19261.66975,0.921289763,381.0432082
"[1, 2, 4, 3, 4]",18880.21945,19261.80929,0.921290611,381.589839
"[1, 2, 1, 2, 4]",18958.21327,19264.25001,0.920576587,306.0367358
"[2, 4, 2, 1, 4]",19305.40446,19264.66268,0.920946067,40.74178818
"[1, 4, 1, 4, 4]",18852.84366,19276.03486,0.92115914,423.1911977
"[2, 4, 4, 2, 4]",19108.90208,19283.96237,0.922322907,175.0602912
"[1, 4, 2, 3, 1]",18923.3201,19286.72495,0.920790164,363.4048533
"[1, 2, 2, 4, 4]",18895.13845,19290.78113,0.92129421,395.6426755
"[2, 4, 2, 3, 4]",19079.68986,19293.04061,0.92225456,213.350746
"[1, 4, 3, 3, 1]",18909.54148,19295.81021,0.920843279,386.2687287
"[1, 4, 4, 3, 1]",18917.67728,19296.3491,0.920844323,378.6718232
"[1, 2, 2, 2, 1]",19025.92107,19297.22034,0.920380526,271.2992605
"[2, 4, 3, 2, 4]",19106.13713,19298.74124,0.922331375,192.6041148
"[1, 2, 3, 4, 4]",18881.65753,19306.57643,0.921342518,424.9189005
"[1, 4, 1, 1, 1]",19195.30406,19306.5984,0.918539428,111.2943365
"[1, 2, 4, 4, 4]",18883.3063,19306.65994,0.921342549,423.3536351
"[1, 3, 2, 1, 4]",19122.89965,19307.24983,0.919817517,184.3501777
"[1, 4, 1, 2, 1]",18958.33651,19311.48207,0.920242037,353.1455571
"[2, 4, 3, 1, 4]",19292.6611,19311.75126,0.921108271,19.09015928
"[1, 4, 2, 2, 3]",18893.54736,19316.66465,0.921289513,423.1172974
"[1, 2, 3, 2, 1]",19005.4821,19319.00648,0.920456752,313.5243814
"[1, 4, 2, 1, 3]",19093.34895,19320.83107,0.919842426,227.4821171
"[1, 3, 3, 1, 4]",19109.6843,19321.86751,0.919884322,212.1832179
"[1, 2, 4, 2, 1]",19006.99905,19323.70851,0.920443893,316.7094573
"[1, 2, 1, 3, 4]",18907.66922,19325.1275,0.920739397,417.4582831
"[1, 3, 4, 1, 4]",19090.82314,19326.37628,0.919893274,235.553142
"[2, 4, 3, 3, 4]",19071.4833,19333.35157,0.922378777,261.8682663
"[1, 4, 3, 1, 3]",19080.85259,19333.91854,0.919908454,253.0659521
"[1, 4, 4, 1, 3]",19063.06369,19334.08778,0.919916622,271.0240925
"[1, 2, 1, 1, 4]",19153.24446,19335.86899,0.919214843,182.6245248
"[2, 4, 4, 3, 4]",19063.96141,19337.06171,0.922378551,273.1003033
"[1, 2, 2, 1, 1]",19217.78101,19337.11038,0.918968106,119.3293668
"[1, 4, 4, 2, 3]",18872.52011,19337.43513,0.921339912,464.9150206
"[2, 2, 2, 2, 4]",19165.82997,19337.60788,0.921890721,171.7779106
"[1, 4, 3, 2, 3]",18883.49293,19343.0345,0.921340934,459.5415642
"[2, 4, 1, 2, 4]",19051.77234,19347.85445,0.921796406,296.0821136
"[1, 4, 2, 4, 1]",18925.68071,19348.84057,0.92089883,423.1598542
"[2, 4, 1, 3, 4]",19050.32279,19349.78099,0.921855378,299.4582004
"[2, 4, 2, 4, 4]",19069.50387,19354.5254,0.922359191,285.0215293
"[1, 4, 4, 4, 1]",18925.79159,19356.25417,0.920943583,430.4625756
"[1, 2, 2, 3, 1]",18962.02927,19356.79345,0.920538951,394.7641807
"[1, 4, 3, 4, 1]",18914.21965,19357.20781,0.920940732,442.9881632
"[1, 2, 3, 1, 1]",19198.85098,19358.31642,0.91905316,159.4654449
"[2, 4, 2, 2, 1]",19156.22824,19358.34869,0.921650045,202.1204468
"[1, 2, 4, 1, 1]",19190.70864,19358.93649,0.919054814,168.2278475
"[1, 4, 1, 2, 3]",18888.41304,19359.78367,0.920841727,471.3706229
"[1, 4, 1, 3, 1]",18909.31216,19363.78092,0.920367497,454.4687612
"[1, 2, 1, 4, 4]",18906.94117,19371.05208,0.920792408,464.1109098
"[1, 4, 2, 3, 3]",18851.12086,19373.79695,0.921397217,522.6760904
"[1, 2, 3, 3, 1]",18946.85991,19376.18965,0.920608035,429.3297366
"[1, 2, 4, 3, 1]",18955.93318,19377.78927,0.92061,421.8560808
"[2, 2, 4, 2, 4]",19135.991,19378.02698,0.922047055,242.0359847
"[1, 2, 1, 2, 1]",19037.46931,19379.68236,0.919835993,342.2130523
"[2, 4, 3, 1, 1]",19332.50688,19384.05322,0.920480517,51.54634351
"[2, 4, 4, 4, 4]",19060.69866,19385.08328,0.922465467,324.3846142
"[2, 4, 3, 4, 4]",19062.65476,19385.27048,0.922465423,322.6157212
"[1, 4, 3, 3, 3]",18838.16863,19385.44434,0.92144479,547.2757126
"[1, 4, 4, 3, 3]",18835.60655,19386.59597,0.92144446,550.9894182
"[2, 2, 2, 3, 4]",19116.08049,19387.17287,0.921976176,271.0923844
"[2, 4, 4, 1, 1]",19319.50707,19387.21743,0.920482239,67.71036475
"[2, 2, 3, 2, 4]",19148.50889,19389.27631,0.922045643,240.767419
"[2, 4, 4, 2, 1]",19143.11423,19391.40603,0.921803504,248.2918027
"[1, 2, 2, 3, 3]",18969.02568,19391.63896,0.920941623,422.6132786
"[1, 1, 2, 2, 4]",18987.25372,19394.76022,0.920534242,407.5064991
"[2, 4, 2, 3, 1]",19119.43201,19397.39325,0.921710952,277.9612392
"[1, 4, 1, 1, 3]",19107.38314,19399.31171,0.919291573,291.9285768
"[2, 2, 2, 1, 4]",19331.43061,19401.14919,0.920785775,69.71857223
"[1, 3, 4, 2, 4]",18913.25528,19403.14414,0.921233193,489.8888616
"[1, 2, 2, 2, 3]",18941.84674,19403.34867,0.921030623,461.5019256
